tenure,monthly_charges,support_tickets,usage,churn
52,884,0,18,1
15,1781,9,35,1
61,1039,9,52,1
21,435,2,15,1
24,1662,0,63,1
3,413,2,53,0
22,284,1,91,0
53,993,1,81,0
2,1967,8,66,1
30,284,7,31,1
38,1712,0,61,1
2,264,3,64,0
64,1869,0,98,1
60,862,0,34,0
21,826,3,55,0
33,263,1,59,0
58,1566,2,3,1
22,1138,8,17,1
49,1118,1,78,0
59,1575,3,78,1
42,1381,0,46,0
60,1812,1,38,1
15,690,4,35,0
62,1881,9,1,1
62,1686,0,29,1
47,1448,6,4,1
62,512,3,61,0
51,814,5,97,0
55,1118,7,17,1
64,1012,5,28,0
3,1139,1,50,0
51,1689,0,90,1
7,1311,7,8,1
21,1526,7,34,1
39,879,8,59,1
18,634,5,18,1
4,881,0,95,0
60,1358,8,59,1
14,1273,2,27,0
9,1655,5,16,1
53,539,9,10,1
2,546,9,76,1
60,845,8,22,1
71,1570,2,16,1
44,848,4,12,1
8,444,4,75,0
47,308,9,84,1
35,732,6,51,1
36,1313,3,1,1
50,495,3,27,0
4,311,6,67,1
2,1812,8,12,1
6,1400,3,30,0
54,542,3,9,1
4,1883,5,53,1
54,300,5,61,0
63,1981,6,54,1
18,828,0,37,0
44,1827,2,65,1
34,1624,8,42,1
62,227,5,49,0
14,1136,5,4,1
48,1760,4,64,1
15,257,2,79,0
62,1721,4,51,1
40,496,0,91,0
53,333,2,72,0
24,1554,3,60,1
26,448,4,87,0
60,1220,9,79,1
41,749,8,91,1
29,1101,3,31,0
15,1298,2,72,0
45,1877,9,94,1
65,1033,0,58,0
71,1391,9,82,1
9,970,5,4,1
1,1726,6,22,1
8,1578,9,3,1
63,1448,7,79,1
11,1887,0,99,1
8,1754,3,47,1
35,345,4,38,0
35,1464,1,33,0
33,1092,0,78,0
5,543,7,48,1
41,1972,5,65,1
28,1258,4,26,0
7,901,8,8,1
12,200,1,50,0
34,352,9,80,1
33,628,7,38,1
48,707,9,10,1
23,1349,8,42,1
62,690,0,37,0
37,1705,6,26,1
44,544,7,92,1
35,1961,2,12,1
65,420,3,84,0
47,922,2,49,0
3,1248,6,14,1
1,727,8,46,1
5,1405,2,35,0
14,1722,5,29,1
27,1040,7,12,1
9,1864,5,82,1
15,1265,1,44,0
42,680,6,66,1
51,1129,1,2,1
63,1971,1,59,1
52,1071,1,17,1
4,1662,0,10,1
23,1625,0,18,1
15,1769,6,22,1
43,544,4,83,0
29,244,2,58,0
36,1869,0,53,1
13,220,9,1,1
32,1857,5,88,1
71,1293,0,61,0
59,1072,8,89,1
28,247,1,31,0
66,1714,0,31,1
42,750,6,66,1
45,486,5,19,1
62,1201,5,53,0
57,1233,4,76,0
6,741,3,74,0
28,955,3,95,0
28,473,2,22,0
44,1155,9,23,1
30,799,7,87,1
62,1979,6,15,1
62,580,8,26,1
1,1552,0,3,1
27,678,6,87,1
62,214,9,20,1
3,715,3,40,0
70,390,6,39,1
27,1391,0,72,0
9,1744,4,18,1
62,820,2,41,0
37,1360,4,70,0
51,353,3,27,0
44,1611,1,15,1
24,1432,3,37,0
59,471,2,58,0
32,342,0,5,1
52,1834,9,73,1
62,1292,7,7,1
58,446,4,41,0
52,1484,3,84,0
12,987,9,10,1
39,278,4,62,0
2,1881,3,26,1
3,822,2,68,0
56,1993,4,24,1
59,1828,3,78,1
2,724,0,41,0
2,971,2,65,0
54,1137,9,17,1
1,1844,9,24,1
19,1553,7,27,1
2,1412,6,7,1
53,1318,1,73,0
44,816,0,99,0
32,1231,2,12,1
70,266,4,85,0
32,1719,9,3,1
68,390,0,79,0
55,1589,2,85,1
56,967,2,10,1
17,720,4,33,0
38,1189,2,46,0
24,1340,8,59,1
69,466,0,52,0
70,1834,3,6,1
